event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-2022369524,D32,2022-02-26 5:00,2022-02-26 5:00,House,3,Assault,Newtonbrook East
GO-2022369725,D32,2022-02-26 5:00,2022-02-26 5:00,Apartment,5,Assault,Yorkdale-Glen Park
GO-202234698,D43,2022-01-06 5:00,2022-01-06 5:00,Apartment,13,Assault,Morningside
GO-202234701,D31,2022-01-05 5:00,2022-01-06 5:00,Apartment,3,Assault,York University Heights
GO-2022347151,D14,2022-02-22 5:00,2022-02-22 5:00,Apartment,19,Assault,Niagara
GO-2022347184,D14,2022-02-22 5:00,2022-02-22 5:00,House,15,Break and Enter,Niagara
GO-2022347254,D41,2022-02-02 5:00,2022-02-07 5:00,Transit,17,Assault,Dorset Park
GO-2022347269,D31,2022-02-22 5:00,2022-02-22 5:00,House,20,Assault,Downsview-Roding-CFB
GO-2022347284,D12,2021-12-01 5:00,2022-02-22 5:00,House,20,Assault,Maple Leaf
GO-2022347462,D32,2022-02-22 5:00,2022-02-22 5:00,Outside,20,Robbery,Yorkdale-Glen Park
GO-2022347501,D54,2022-02-22 5:00,2022-02-22 5:00,Transit,20,Sexual Violation,East End-Danforth
GO-2022347601,D22,2022-02-22 5:00,2022-02-22 5:00,Apartment,21,Sexual Violation,Eringate-Centennial-West Deane
GO-2022347633,D31,2022-02-22 5:00,2022-02-23 5:00,Apartment,21,Break and Enter,York University Heights
GO-2022347671,D12,2021-06-01 5:00,2022-02-22 5:00,Apartment,22,Assault,Mount Dennis
GO-2022347700,D14,2022-02-22 5:00,2022-02-22 5:00,Apartment,21,Break and Enter,South Parkdale
GO-2022347751,D32,2022-02-22 5:00,2022-02-22 5:00,Transit,21,Assault,Willowdale West
GO-2022347808,D12,2022-02-22 5:00,2022-02-22 5:00,Apartment,21,Assault,Maple Leaf
GO-202234785,D41,2022-01-06 5:00,2022-01-06 5:00,Commercial,13,Assault,Wexford-Maryvale
GO-2022347889,D13,2022-02-22 5:00,2022-02-22 5:00,Outside,23,Assault,Wychwood
GO-2022347917,D32,2021-12-21 5:00,2022-02-22 5:00,Commercial,0,Break and Enter,Yorkdale-Glen Park
GO-2022347957,D22,2021-07-01 5:00,2022-02-22 5:00,Apartment,0,Sexual Violation,Markland Wood
GO-2022347994,D23,2022-02-21 5:00,2022-02-22 5:00,Outside,12,Assault,West Humber-Clairville
GO-2022349732,D53,2022-02-06 5:00,2022-02-23 5:00,Transit,8,Assault,Yonge-Eglinton
GO-2022349799,D52,2022-02-23 5:00,2022-02-23 5:00,Commercial,8,Assault,Waterfront Communities-The Island
GO-2022349800,D51,2022-02-23 5:00,2022-02-23 5:00,Commercial,8,Assault,Regent Park
GO-2022349854,D51,2022-02-18 5:00,2022-02-23 5:00,Transit,9,Assault,Church-Yonge Corridor
